trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,-2,-183.9437998370669,"{0: 20, 1: 5, 2: 3, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,2,-131.1348052922946,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,-100,-569.8372717649247,"{0: 71, 1: 9, 2: 31, 3: 2, 4: 7}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,-49,-281.6677889765489,"{0: 41, 1: 11, 2: 13, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,-23,-70.488422820936,"{0: 31, 1: 3, 2: 8, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,-100,-601.8465395763625,"{0: 66, 1: 25, 2: 26, 3: 0, 4: 8}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,-51,-237.47927759525777,"{0: 43, 1: 13, 2: 12, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,-100,-471.07688644429487,"{0: 79, 1: 11, 2: 22, 3: 1, 4: 7}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,-84,-729.443187629053,"{0: 67, 1: 5, 2: 36, 3: 0, 4: 11}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,-91,-502.4192183922645,"{0: 70, 1: 17, 2: 18, 3: 5, 4: 6}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,-55,-374.43632076549693,"{0: 46, 1: 10, 2: 12, 3: 1, 4: 6}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,-100,-634.9477639378928,"{0: 70, 1: 15, 2: 28, 3: 5, 4: 7}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,-100,-491.95977535926255,"{0: 85, 1: 9, 2: 28, 3: 2, 4: 6}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,-100,-600.9877820696255,"{0: 78, 1: 8, 2: 22, 3: 2, 4: 10}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,-31,-186.84376277844186,"{0: 35, 1: 8, 2: 11, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,7,-48.194476670155495,"{0: 8, 1: 0, 2: 4, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,-46,-268.72167898845123,"{0: 38, 1: 10, 2: 14, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,-93,-459.09986070913385,"{0: 76, 1: 15, 2: 26, 3: 0, 4: 6}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,14,-102.83461648814088,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 2}",1
20,False,"{'a': 0.5, 'e': 1.0}",30,4,-33.10168390346194,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,-100,-805.5783309720395,"{0: 68, 1: 17, 2: 25, 3: 2, 4: 13}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,-38,-288.66915495529963,"{0: 42, 1: 11, 2: 10, 3: 0, 4: 5}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,-67,-442.9623063484906,"{0: 55, 1: 8, 2: 16, 3: 0, 4: 8}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,-73,-497.79661602673167,"{0: 52, 1: 15, 2: 18, 3: 0, 4: 8}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-48.89749488619321,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",1
6,True,"{'a': 0.5, 'e': 1.0}",25,-100,-597.2658295854104,"{0: 74, 1: 13, 2: 27, 3: 4, 4: 7}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,-100,-640.956946316378,"{0: 71, 1: 15, 2: 25, 3: 7, 4: 7}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,-91,-539.8602552574256,"{0: 65, 1: 18, 2: 18, 3: 2, 4: 8}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,-63,-393.2558100280652,"{0: 56, 1: 8, 2: 15, 3: 4, 4: 5}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,-100,-384.93817150701483,"{0: 82, 1: 16, 2: 12, 3: 5, 4: 5}",0
